814000,473000

941000,943000,814000
947000,949000,814000
2132000,2134000,814000
2150000,2152000,814000
2331000,2333000,814000
2541000,2543000,814000
3777000,3779000,814000
803000,808000,473000
813000,815000,473000
815000,817000,473000
631500,635500,473000
623000,625000,473000
879000,891000,473000
762000,764000,473000
2409000,2474000,473000
2340000,2342000,473000
2144000,2146000,473000
2591000,2597000,473000
1958500,1960500,473000
1818000,1829000,473000
2123000,2125000,473000
2322000,2324000,473000
2523000,2525000,473000
2631000,2633000,473000
2630000,2636000,473000
3327000,3329000,473000
4065000,4067000,473000
4155000,4157000,473000
5699000,5701000,473000
5824000,5826000,473000
